Size,CPU Exec time (ms),GPU Exec time (ms),Memory Transfer (Host to Device)(ms),Memory Transfer (Device to Host)(ms),SpeedUp,Throughput (GB/s)
64,.0007,.032768,.02048,.016864,.0214,.0138175
128,.0012,.03072,.02048,.014912,.0391,.0290461
256,.00107,.031744,.023552,.015104,.03371,.053084
512,.00506,.031744,.0256,.014688,.1594,.101767
1024,.00844,.03072,.024576,.0168,.2747,.19809
2048,.01666,.03072,.027648,.016128,.54231,.37436
4096,.033221,.0317,.0256,.15104,1.048,.80513
8192,.078432,.033792,.039936,.016224,2.321,1.167
16384,.13297,.03416,.04608,.015072,3.8926,2.14345
32768,.2187,.034624,.051328,.014336,6.316,3.992
65536,.255775,.035072,.078528,.016448,7.293,5.5203
131072,.428459,.03728,.137888,.01504,11.493,6.857
,,,,,,
,,,,,,
,,,,,,
